06.05.2026 15:56:13: Мониторинг. Communication Task: True.
06.05.2026 15:56:23: Мониторинг. Communication Task: True.
06.05.2026 15:56:33: Мониторинг. Communication Task: True.
06.05.2026 15:56:43: Мониторинг. Communication Task: True.
06.05.2026 15:56:53: Мониторинг. Communication Task: True.
06.05.2026 15:57:03: Мониторинг. Communication Task: True.
06.05.2026 15:57:13: Мониторинг. Communication Task: True.
06.05.2026 15:57:23: Мониторинг. Communication Task: True.
06.05.2026 15:57:33: Мониторинг. Communication Task: True.
06.05.2026 15:57:43: Мониторинг. Communication Task: True.
06.05.2026 15:57:53: Мониторинг. Communication Task: True.
06.05.2026 15:58:03: Мониторинг. Communication Task: True.
06.05.2026 15:58:13: Мониторинг. Communication Task: True.
06.05.2026 15:58:24: Мониторинг. Communication Task: True.
06.05.2026 15:58:34: Мониторинг. Communication Task: True.
06.05.2026 17:06:00: Запуск анализатора OrthoVision
06.05.2026 17:06:00: Загрузка dll драйвера анализатора OrthoVision из C:\Users\anton.petuhov\source\repos\OrthoVisionDriver\dlls\OrthoVision.dll
06.05.2026 17:06:00: Инициализация драйвера
06.05.2026 17:06:00: Драйвер загружен успешно.
06.05.2026 17:06:00: Поток обмена сообщениями запущен.
06.05.2026 17:06:00: Запускаем Цикл обмена сообщениями...
06.05.2026 17:06:11: Мониторинг. Communication Task: True.
06.05.2026 17:06:21: Мониторинг. Communication Task: True.
06.05.2026 17:06:31: Мониторинг. Communication Task: True.
06.05.2026 17:06:41: Мониторинг. Communication Task: True.
06.05.2026 17:06:51: Мониторинг. Communication Task: True.
06.05.2026 17:07:01: Мониторинг. Communication Task: True.
06.05.2026 17:07:11: Мониторинг. Communication Task: True.
06.05.2026 17:07:21: Мониторинг. Communication Task: True.
06.05.2026 17:07:31: Мониторинг. Communication Task: True.
06.05.2026 17:07:41: Мониторинг. Communication Task: True.
06.05.2026 17:07:51: Мониторинг. Communication Task: True.
06.05.2026 17:08:01: Мониторинг. Communication Task: True.
06.05.2026 17:08:11: Мониторинг. Communication Task: True.
06.05.2026 17:08:21: Мониторинг. Communication Task: True.
06.05.2026 17:08:31: Мониторинг. Communication Task: True.
06.05.2026 17:08:41: Мониторинг. Communication Task: True.
06.05.2026 17:08:51: Мониторинг. Communication Task: True.
06.05.2026 17:09:01: Мониторинг. Communication Task: True.
06.05.2026 17:09:11: Мониторинг. Communication Task: True.
06.05.2026 17:09:21: Мониторинг. Communication Task: True.
06.05.2026 17:09:31: Мониторинг. Communication Task: True.
06.05.2026 17:09:41: Мониторинг. Communication Task: True.
06.05.2026 17:09:51: Мониторинг. Communication Task: True.
06.05.2026 17:10:01: Мониторинг. Communication Task: True.
06.05.2026 17:10:11: Мониторинг. Communication Task: True.
06.05.2026 17:10:21: Мониторинг. Communication Task: True.
06.05.2026 17:10:31: Мониторинг. Communication Task: True.
06.05.2026 17:10:41: Мониторинг. Communication Task: True.
06.05.2026 17:10:51: Мониторинг. Communication Task: True.
06.05.2026 17:11:01: Мониторинг. Communication Task: True.
06.05.2026 17:11:11: Мониторинг. Communication Task: True.
06.05.2026 17:11:21: Мониторинг. Communication Task: True.
06.05.2026 17:11:31: Мониторинг. Communication Task: True.
06.05.2026 17:11:41: Мониторинг. Communication Task: True.
06.05.2026 17:11:51: Мониторинг. Communication Task: True.
06.05.2026 17:12:01: Мониторинг. Communication Task: True.
06.05.2026 17:12:11: Мониторинг. Communication Task: True.
06.05.2026 17:12:21: Мониторинг. Communication Task: True.
